geoid,county_name,category,poverty,alice,above_alice
48313,Madison,single_cohab,301,313,990
48313,Madison,fam_kids,268,221,809
48313,Madison,over_65,127,620,552
48315,Marion,single_cohab,542,566,963
48315,Marion,fam_kids,192,144,419
48315,Marion,over_65,218,620,795
48317,Martin,single_cohab,56,228,424
48317,Martin,fam_kids,73,115,349
48317,Martin,over_65,28,149,204
48319,Mason,single_cohab,107,305,192
48319,Mason,fam_kids,88,55,209
48319,Mason,over_65,84,296,331
48321,Matagorda,single_cohab,1024,1874,3604
48321,Matagorda,fam_kids,1071,564,1876
48321,Matagorda,over_65,834,1268,1521
48323,Maverick,single_cohab,790,2296,2684
48323,Maverick,fam_kids,2225,1254,3226
48323,Maverick,over_65,1692,1082,1058
48307,McCulloch,single_cohab,230,326,869
48307,McCulloch,fam_kids,120,239,345
48307,McCulloch,over_65,169,338,619
48309,McLennan,single_cohab,7659,11094,24064
48309,McLennan,fam_kids,7271,5106,14450
48309,McLennan,over_65,2018,8824,11672
48311,McMullen,single_cohab,,,
48311,McMullen,fam_kids,,,
48311,McMullen,over_65,3,4,95
48325,Medina,single_cohab,651,2034,3751
48325,Medina,fam_kids,518,971,2780
48325,Medina,over_65,664,1535,2566
48327,Menard,single_cohab,76,110,230
48327,Menard,fam_kids,11,48,133
48327,Menard,over_65,53,157,174
48329,Midland,single_cohab,1680,5199,19387
48329,Midland,fam_kids,2324,4216,12701
48329,Midland,over_65,1525,4436,6168
48331,Milam,single_cohab,566,1254,1932
48331,Milam,fam_kids,515,416,1649
48331,Milam,over_65,319,1184,1546
48333,Mills,single_cohab,104,184,288
48333,Mills,fam_kids,118,96,178
48333,Mills,over_65,118,250,414
48335,Mitchell,single_cohab,83,541,495
48335,Mitchell,fam_kids,17,160,498
48335,Mitchell,over_65,91,226,330
48337,Montague,single_cohab,391,721,2004
48337,Montague,fam_kids,399,343,1508
48337,Montague,over_65,332,887,1410
48339,Montgomery,single_cohab,6746,23889,57871
48339,Montgomery,fam_kids,7589,14655,46725
48339,Montgomery,over_65,5297,17432,22593
48341,Moore,single_cohab,238,1108,1761
48341,Moore,fam_kids,406,565,1287
48341,Moore,over_65,185,482,594
48343,Morris,single_cohab,345,597,1027
48343,Morris,fam_kids,297,186,866
48343,Morris,over_65,218,541,971
48345,Motley,single_cohab,25,64,41
48345,Motley,fam_kids,15,39,77
48345,Motley,over_65,19,82,103
48347,Nacogdoches,single_cohab,2345,3008,5367
48347,Nacogdoches,fam_kids,1813,1512,3329
48347,Nacogdoches,over_65,627,2542,2899
48349,Navarro,single_cohab,889,1949,4367
48349,Navarro,fam_kids,1461,950,3043
48349,Navarro,over_65,644,1956,2138
48351,Newton,single_cohab,323,809,977
48351,Newton,fam_kids,293,177,697
48351,Newton,over_65,350,805,547
48353,Nolan,single_cohab,368,850,1163
48353,Nolan,fam_kids,265,236,919
48353,Nolan,over_65,195,670,803
48355,Nueces,single_cohab,6784,17214,37052
48355,Nueces,fam_kids,9019,8414,20244
