"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Insurance Underwriters","0.057","7094.43","3862.421","54.443","1926.712","27.158","1305.298","18.399"
"Physical Therapists","0.127","15880.29","1412.865","8.897","4357.359","27.439","10110.065","63.664"
"Farmworkers, Farm, Ranch, and Aquacultural Animals","0.075","9353.53","3490.76","37.32","2235.125","23.896","3627.645","38.784"
"Mixing and Blending Machine Setters, Operators, and Tenders","0.059","7358.29","5309.352","72.155","347.564","4.723","1701.374","23.122"
"Electrical and Electronic Engineering Technologists and Technicians","0.09","11264.68","1350.084","11.985","4258.567","37.805","5656.029","50.21"
"New Accounts Clerks","0.052","6478.62","5603.433","86.491","0","0","875.187","13.509"
"Operations Research Analysts","0.074","9285.96","2138.215","23.026","3430.191","36.94","3717.554","40.034"
"Education Administrators, Postsecondary","0.089","11140","105.851","0.95","5398.418","48.46","5635.731","50.59"
"Surveying and Mapping Technicians","0.071","8810.24","3416.803","38.782","2039.654","23.151","3353.783","38.067"
"Aircraft Mechanics and Service Technicians","0.106","13267.99","3025.962","22.806","2420.071","18.24","7821.957","58.954"
"Database Administrators and Architects","0.089","11105.77","2838.496","25.559","2590.96","23.33","5676.314","51.111"
"Kindergarten Teachers, Except Special Education","0.136","16925.82","0","0","5425.426","32.054","11500.394","67.946"
"Veterinary Technologists and Technicians","0.096","11992.14","3413.824","28.467","1975.451","16.473","6602.865","55.06"
"Special Education Teachers, Kindergarten and Elementary School","0.134","16735.57","1102.589","6.588","4282.993","25.592","11349.988","67.82"
"Sheet Metal Workers","0.082","10242.33","3697.772","36.103","1655.458","16.163","4889.1","47.734"
"Transportation, Storage, and Distribution Managers","0.111","13875.5","1076.743","7.76","4275.075","30.81","8523.683","61.43"
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","0.095","11900.85","1780.374","14.96","3548.41","29.816","6572.065","55.223"
"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other","0.072","9031.09","4743.394","52.523","543.543","6.019","3744.153","41.458"
"Title Examiners, Abstractors, and Searchers","0.051","6389.02","5172.07","80.952","60.537","0.948","1156.413","18.1"
"Couriers and Messengers","0.053","6568.13","5202.392","79.207","0","0","1365.738","20.793"
"Graders and Sorters, Agricultural Products","0.049","6133.56","5199.409","84.77","0","0","934.151","15.23"
"Architectural and Engineering Managers","0.116","14443.43","0","0","5126.073","35.491","9317.357","64.509"
"Advertising Sales Agents","0.061","7669.15","1144.307","14.921","3951.628","51.526","2573.215","33.553"
"Slaughterers and Meat Packers","0.048","5992.64","5070.381","84.61","0","0","922.259","15.39"
"Office and Administrative Support Workers, All Other","0.051","6353.1","3691.077","58.099","1347.39","21.208","1314.633","20.693"
"Credit Analysts","0.05","6301.61","1909.442","30.301","3121.598","49.537","1270.57","20.163"
"Eligibility Interviewers, Government Programs","0.06","7522.1","4559.755","60.618","421.785","5.607","2540.56","33.775"
"Dental Hygienists","0.123","15396.14","3014.9","19.582","1943.015","12.62","10438.225","67.798"
"Human Resources Managers","0.079","9865.92","528.976","5.362","4419.472","44.795","4917.471","49.843"
"Pest Control Workers","0.058","7268.93","2255.756","31.033","2649.205","36.446","2363.969","32.522"
"Architects, Except Landscape and Naval","0.073","9166.93","606.474","6.616","4274.736","46.632","4285.72","46.752"
"Drywall and Ceiling Tile Installers","0.06","7441.99","4327.238","58.146","500.295","6.723","2614.456","35.131"
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","0.09","11176.76","632.022","5.655","4191.234","37.5","6353.504","56.846"
