"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Office and Administrative Support Workers, All Other","0.176","920.65","528.73","57.43","191.879","20.842","200.04","21.728"
"Computer Network Support Specialists","0.174","913.7","346.13","37.882","370.855","40.588","196.715","21.53"
"Computer User Support Specialists","0.259","1356.72","420.139","30.967","294.804","21.729","641.777","47.304"
"Fast Food and Counter Workers","0.169","886.04","614.191","69.319","91.24","10.297","180.609","20.384"
"Automotive Service Technicians and Mechanics","0.333","1744.36","427.51","24.508","263.986","15.134","1052.864","60.358"
"Legal Secretaries and Administrative Assistants","0.181","948.35","663.888","70.005","22.977","2.423","261.485","27.573"
"First-Line Supervisors of Farming, Fishing, and Forestry Workers","0.428","2241.12","485.888","21.681","199.337","8.895","1555.894","69.425"
"File Clerks","0.155","809.9","674.92","83.334","7.992","0.987","126.988","15.679"
"First-Line Supervisors of Construction Trades and Extraction Workers","0.322","1689","99.126","5.869","575.615","34.08","1014.259","60.051"
"Paving, Surfacing, and Tamping Equipment Operators","0.207","1086.76","600.913","55.294","72.704","6.69","413.143","38.016"
"Air Traffic Controllers","0.244","1280.58","529.464","41.346","142.069","11.094","609.046","47.56"
"Electrical Power-Line Installers and Repairers","0.237","1239.04","134.371","10.845","535.05","43.183","569.619","45.973"
"Fallers","0.208","1088.56","642.505","59.023","14.966","1.375","431.089","39.602"
"Security Guards","0.291","1522.85","334.248","21.949","309.169","20.302","879.433","57.749"
"Procurement Clerks","0.145","761.45","462.333","60.717","178.103","23.39","121.014","15.893"
"Laborers and Freight, Stock, and Material Movers, Hand","0.17","892.96","494.314","55.357","137.069","15.35","261.577","29.293"
"Data Entry Keyers","0.136","712.99","630.171","88.384","0","0","82.819","11.616"
"Social Scientists and Related Workers, All Other","0.189","989.86","250.418","25.298","378.302","38.218","361.14","36.484"
"Instructional Coordinators","0.198","1038.34","0","0","607.287","58.486","431.053","41.514"
