"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Social and Community Service Managers","0.045","9.91","0.521","5.258","3.788","38.228","5.601","56.514"
"Office and Administrative Support Workers, All Other","0.024","5.24","3.066","58.521","1.123","21.44","1.05","20.04"
"Helpers--Installation, Maintenance, and Repair Workers","0.034","7.37","3.535","47.961","0.652","8.844","3.183","43.195"
"Concierges","0.029","6.39","2.9","45.378","1.196","18.713","2.295","35.909"
"Loan Interviewers and Clerks","0.023","5.07","4.057","80.024","0","0","1.013","19.976"
"Carpenters","0.026","5.6","2.534","45.253","1.516","27.063","1.55","27.684"
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","0.026","5.64","3.738","66.273","0.268","4.754","1.634","28.974"
"Animal Caretakers","0.043","9.36","1.319","14.094","2.673","28.554","5.368","57.352"
"Psychiatric Technicians","0.049","10.59","1.085","10.248","2.888","27.266","6.617","62.486"
"Firefighters","0.034","7.41","0.668","9.015","3.258","43.97","3.484","47.015"
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","0.025","5.49","3.801","69.23","0","0","1.689","30.77"
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","0.026","5.63","3.709","65.878","0","0","1.921","34.122"
"Dentists, General","0.059","12.91","1.202","9.314","2.42","18.742","9.288","71.944"
"Lodging Managers","0.035","7.69","1.548","20.135","2.005","26.071","4.137","53.794"
"Computer Systems Analysts","0.039","8.52","0.623","7.311","2.893","33.957","5.004","58.731"
"Electrical and Electronic Engineering Technologists and Technicians","0.029","6.24","0.809","12.969","2.693","43.15","2.738","43.881"
"Baggage Porters and Bellhops","0.023","5.01","1.44","28.752","2.017","40.26","1.553","30.988"
"Biological Technicians","0.033","7.27","2.064","28.39","1.351","18.577","3.855","53.032"
"Electricians","0.028","6.03","1.005","16.659","2.352","39.008","2.673","44.334"
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","0.02","4.35","2.863","65.811","0.493","11.34","0.994","22.849"
"Magnetic Resonance Imaging Technologists","0.034","7.34","1.663","22.654","1.685","22.961","3.992","54.385"
"Human Resources Managers","0.03","6.47","0.35","5.405","2.938","45.415","3.182","49.181"
"Motor Vehicle Operators, All Other","0.02","4.39","3.068","69.894","0.166","3.772","1.156","26.334"
"Ophthalmic Laboratory Technicians","0.019","4.16","3.233","77.717","0","0","0.927","22.283"
"Industrial Engineering Technologists and Technicians","0.024","5.3","1.078","20.342","2.107","39.746","2.115","39.912"
"Paralegals and Legal Assistants","0.022","4.86","2.548","52.426","0.636","13.087","1.676","34.487"
"Procurement Clerks","0.017","3.62","2.258","62.365","0.865","23.89","0.498","13.745"
"Education and Childcare Administrators, Preschool and Daycare","0.036","7.84","0.868","11.065","2.253","28.739","4.719","60.196"
"Glaziers","0.018","3.91","1.362","34.829","1.716","43.898","0.832","21.273"
"Credit Authorizers, Checkers, and Clerks","0.016","3.42","3.057","89.373","0","0","0.363","10.627"
"Marketing Managers","0.031","6.77","0.438","6.468","2.605","38.475","3.727","55.057"
"Cost Estimators","0.019","4.11","1.865","45.367","1.177","28.646","1.068","25.987"
"Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other","0.031","6.85","1.075","15.686","1.851","27.024","3.924","57.289"
"Crossing Guards and Flaggers","0.02","4.41","1.84","41.733","1.049","23.788","1.521","34.479"
"Maintenance Workers, Machinery","0.024","5.24","2.588","49.388","0.298","5.691","2.354","44.921"
"Police and Sheriff's Patrol Officers","0.023","5.06","1.597","31.554","1.255","24.804","2.208","43.642"
"Exercise Trainers and Group Fitness Instructors","0.024","5.16","0.054","1.055","2.693","52.182","2.413","46.762"
"Electronics Engineers, Except Computer","0.023","4.95","0.523","10.569","2.129","43.007","2.298","46.424"
"Hotel, Motel, and Resort Desk Clerks","0.016","3.38","2.576","76.218","0.016","0.483","0.788","23.299"
"Compliance Officers","0.019","4.09","1.251","30.582","1.282","31.335","1.558","38.083"
"Coil Winders, Tapers, and Finishers","0.014","3.06","2.436","79.621","0","0","0.624","20.379"
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","0.017","3.62","2.36","65.18","0.07","1.947","1.19","32.874"
"Management Analysts","0.02","4.28","0","0","2.362","55.177","1.918","44.823"
"Metal Workers and Plastic Workers, All Other","0.015","3.29","1.988","60.41","0.357","10.836","0.946","28.753"
"Bus and Truck Mechanics and Diesel Engine Specialists","0.021","4.61","1.529","33.169","0.809","17.548","2.272","49.282"
"Metal-Refining Furnace Operators and Tenders","0.016","3.38","2.306","68.21","0.01","0.31","1.064","31.48"
"Ushers, Lobby Attendants, and Ticket Takers","0.015","3.35","2.181","65.105","0.107","3.198","1.062","31.697"
"Amusement and Recreation Attendants","0.016","3.45","2.027","58.752","0.215","6.237","1.208","35.011"
"Print Binding and Finishing Workers","0.013","2.75","2.157","78.429","0.026","0.933","0.568","20.639"
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","0.013","2.75","2.164","78.705","0","0","0.586","21.295"
"Architectural and Engineering Managers","0.026","5.75","0","0","2.125","36.948","3.625","63.052"
"Electrical Engineers","0.02","4.36","0.301","6.904","1.822","41.799","2.237","51.297"
"Mental Health and Substance Abuse Social Workers","0.022","4.86","0","0","2.095","43.112","2.765","56.888"
"Tailors, Dressmakers, and Custom Sewers","0.012","2.66","0.285","10.697","1.802","67.744","0.573","21.558"
